,Nama Panti,Tipe Panti,Jenis Yayasan,Jumlah Berita Kegiatan,Tanggal Gabung,Data Terakhir Update,Nama Pemilik,Alamat,Description,Kebutuhan,Tag Kebutuhan,Program,Tag Program,Jumlah Pengurus,Jumlah Anak,Laki-laki,Perempuan,Jumlah Tag Kebutuhan,Jumlah Tag Program,Description_clean,Kebutuhan_clean,Program_clean,text
0,Panti Bina Remaja Mandiri,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Panti Balita', 'Panti Anak Non Mukim']",209,01 May 2014,03 Mar 2023,Ibu Ferliani Anggraeni,"Jl Banjaran Pucung, Gg. Masjid Al Ikhlas Jl. Emeralda Raya No.100, RT.3/RW.10, Cilangkap, Kec. Tapos, Kota Depok, Jawa Barat 16458, Indonesia","Panti kami telah berdiri di Kota Depok sejak tahun 2009, yang berkonsentrasi di pelayanan:
1. Tumbuh kembang anak yatim dan dhuafa yang berusia balita hingga remaja terlantar (yang dititipkan oleh kepolisian, dinas sosial, serta warga sekitar depok & luar depok)
2. Taman Anak Sejahtera, (program dari Kementrian Sosial RI untuk wilayah Depok), program ini layaknya Daycare, namun untuk anak dari orang tua berpenghasilan minim yang harus bekerja untuk memenuhi kebutuhan hidupnya (pedagang kaki lima, buruh cuci, buruh pasar, dll), dan setelah bekerja mereka akan menjemput anaknya pulang ke rumah.","beras,susu Dancow 1,3 dan 5 pampers",['Makanan'],"- Beasiswa Kakak  Asuh
- Produk usaha Kuliner (Binari Fried Chicken dan lele olahan)","['Pendidikan', 'Pembinaan Masyarakat']",7.0,40,23.0,17.0,2,2,panti berdiri kota depok 2009 berkonsentrasi pelayanan 1 tumbuh kembang anak yatim dhuafa berusia balita remaja terlantar dititipkan kepolisian dinas sosial warga depok depok 2 taman anak sejahtera program kementrian sosial ri wilayah depok program layaknya daycare anak orang tua berpenghasilan minim memenuhi kebutuhan hidupnya pedagang kaki buruh cuci buruh pasar dll menjemput anaknya pulang rumah,beras susu dancow 1 3 5 pampers,beasiswa kakak asuh produk usaha kuliner binari fried chicken lele olahan,Panti Bina Remaja Mandiri panti berdiri kota depok 2009 berkonsentrasi pelayanan 1 tumbuh kembang anak yatim dhuafa berusia balita remaja terlantar dititipkan kepolisian dinas sosial warga depok depok 2 taman anak sejahtera program kementrian sosial ri wilayah depok program layaknya daycare anak orang tua berpenghasilan minim memenuhi kebutuhan hidupnya pedagang kaki buruh cuci buruh pasar dll menjemput anaknya pulang rumah beras susu dancow 1 3 5 pampers beasiswa kakak asuh produk usaha kuliner binari fried chicken lele olahan Makanan
1,Rumah Yatim Pamulang,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,03 Mar 2023,Pak Ncep,"Jl. R.E. Martadinata No.58A,, Pamulang Tim., Pamulang, Kota Tangerang Selatan, Banten, Indonesia","Kegiatan panti meliputi: 
1. Empowerment,
2. Smart service
3. Smart parenting, 
4. Smart education, 
5. Smart waqaf | 
http://rumah-yatim.org | info@rumah-yatim.org",Komputer untuk pelaksanaan program digital printing anak-anak panti asuhan.,[''],,[''],5.0,11,0.0,11.0,1,1,kegiatan panti meliputi 1 empowerment 2 smart service 3 smart parenting 4 smart education 5 smart waqaf info yatim org,komputer pelaksanaan program digital printing anak anak panti asuhan,,Rumah Yatim Pamulang kegiatan panti meliputi 1 empowerment 2 smart service 3 smart parenting 4 smart education 5 smart waqaf info yatim org komputer pelaksanaan program digital printing anak anak panti asuhan  
2,PSAA Raksa Putra,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,03 Mar 2023,Gabungan Organisasi Wanita,"Jl. H M. Syarifudin No.06, RT.01/RW.06, Sindangbarang, Kec. Bogor Bar., Kota Bogor, Jawa Barat 16117, Indonesia",-,,[''],,[''],2.0,30,30.0,0.0,1,1,,,,PSAA Raksa Putra    
3,Panti Asuhan Puteri Dan Balita Darushsholihat,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,Yayasan Muhammadiyah,"Jl. Raya Pajajaran No.Kelurahan, RT.02/RW.04, Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat 16143",,,[''],"Kegiatan :
- Tabligh akbar pada bulan puasa dan muharam
- Bazar murah untuk masyarakat sekitar (apabila stok bahan makanan)
- Study tour ",[''],3.0,50,50.0,0.0,1,1,,,kegiatan tabligh akbar puasa muharam bazar murah masyarakat stok bahan makanan study tour,Panti Asuhan Puteri Dan Balita Darushsholihat   kegiatan tabligh akbar puasa muharam bazar murah masyarakat stok bahan makanan study tour 
4,Yayasan Putra Nusa bag. Putri,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,01 Jan 1970,03 Mar 2023,H. Mustajib,"Jl. Dukuh Pinggir IV, Kb. Melati, Tanah Abang, Kota Jakarta PusatTanahabang, Daerah Khusus Ibukota Jakarta, Indonesia","	Panti Asuhan ini berdiri sejak tahun 1958 pemiliknya bernama Bapak H. Mustajib dan berstatus panti. Panti Nusa Putra Bag. Putri memiliki asuhan sejumlah 40 orang putri. Selama 3 tahun ini tidak ada kendala yang mengkhawatirkan, namun panti ini memiliki kekhawatiran tentang penggusuran, karena daerah Panti Nusa Putra Bag. Putri dianggap daerah yang  dipetakan akan digusur.","Kebutuhan bulanan Panti Putra Nusa Bag. Putri digunakan untuk memenuhi kebutuhan berupa makan, pendidikan, transportasi, dan kegiatan panti. Adapun kebutuhan per hari beragam, mulai dari untuk transportasi Rp 20.000,-, kebutuhan makan Rp 400.000,-, pendid","['Makanan', 'Kesehatan']","-      Keagamaan 
-	Olahraga
-	Kesenian 
-	Keterampilan 
-	Lomba Senam 
-	Usaha Gantungan dari Kain Flanel
","['Pendidikan', 'Keagamaan', 'Keterampilan']",0.0,40,0.0,40.0,3,3,panti asuhan berdiri 1958 pemiliknya bernama h mustajib berstatus panti panti nusa putra bag putri memiliki asuhan 40 orang putri 3 kendala mengkhawatirkan panti memiliki kekhawatiran penggusuran daerah panti nusa putra bag putri dianggap daerah dipetakan digusur,kebutuhan bulanan panti putra nusa bag putri memenuhi kebutuhan makan pendidikan transportasi kegiatan panti kebutuhan beragam transportasi rp 20 000 kebutuhan makan rp 400 000 pendid,keagamaan olahraga kesenian keterampilan lomba senam usaha gantungan kain flanel,Yayasan Putra Nusa bag. Putri panti asuhan berdiri 1958 pemiliknya bernama h mustajib berstatus panti panti nusa putra bag putri memiliki asuhan 40 orang putri 3 kendala mengkhawatirkan panti memiliki kekhawatiran penggusuran daerah panti nusa putra bag putri dianggap daerah dipetakan digusur kebutuhan bulanan panti putra nusa bag putri memenuhi kebutuhan makan pendidikan transportasi kegiatan panti kebutuhan beragam transportasi rp 20 000 kebutuhan makan rp 400 000 pendid keagamaan olahraga kesenian keterampilan lomba senam usaha gantungan kain flanel Makanan Kesehatan
5,Panti Taruna Pertiwi,Lembaga Kesejahteraan Sosial Anak,"['Rumah Singgah Anak Jalanan', 'Panti Anak Non Mukim']",0,01 Jan 1970,03 Mar 2023,Ali Amran,"Jl. Masjid Al-Makmur No.37, RT.1/RW.8, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia","Pada 18 Maret 2011 didirikanlah lembaga yang diberi nama Yayasan Taruna Pertiwi, dengan akta notaris : Ny. Ninuk Kartini, SH., nomor : 19, tanggal 22 Juni 2011.
Rumah Singgah Taruna Pertiwi dalam menjalankan kegiatannya selalu melibatkan peran serta masyarakat dimana kegiatan tersebut dilangsungkan. Dengan begitu akan terjalin komunikasi yang baik dengan masyarakat, terciptanya rasa memiliki dan saling ketergantungan antara Rumah Singgah dan masyarakat. Itu merupakan salah satu modal utama keberlangsungan dan keberhasilan program-program yang dijalankan.

Rumah Singgah Yayasan Taruna Pertiwi, dengan motto, ”Move Fast, Think Big”,  berharap bisa bergerak cepat dalam menangkap atau menggali aspirasi dan mengidentefikasi kebutuhan anak jalanan dan masyarakat, serta dengan berfikiran yang luas bisa memberikan solusi dan manfaat yang sebesar-besarnya kepada masyarakat luas, khususnya warga tidak mampu dan anak jalanan/terlantar.

Visi
Membantu anak jalanan/terlantar, anak tidak mampu, dan warga masyarakat tidak mampu dalam mendapatkan pendidikan yang layak, meningkatkan kesejahteraan dan taraf hidup yang lebih baik, mendapatkan pelayanan kesehatan yang baik serta ikut berperan serta dalam mewujudkan tatanan sosial masyarakat yang baik sesuai dengan potensi yang dimilikinya agar lebih berdaya guna, hidup bersih, sehat, tentram dan sejahtera.

Misi
Menumbuhkan rasa percaya diri dan sikap mental yang baik.
Menyediakan atau memfasilitasi anak pendidikan yang baik.
Memberikan pelatihan keterampilan (life skill) sesuai dengan kebutuhan dan potensi yang dimiliki.
Menciptakan peluang kerja baru dengan mengembangkan setiap peluang usaha yang ada.
Menggali serta memberdayakan potensi yang dimiliki agar menjadi manusia yang lebih produktif dan mandiri.
Melibatkan peran serta masyarakat dan pihak-pihak terkait untuk turut serta mengentaskan dan memberdayakan anak jalanan/terlantar, anak yatim, anak tidak mampu dan masyarakat tidak mampu.

Jenis Pelayanan di Rumah Singgah Taruna Pertiwi        : 
Pembinaan Anak Jalanan/Terlantar
Taman Pendidikan Al-Qur'an 
Pendidikan Anak Usia Dini
Pendidikan Keterampilan (Life Skill)
Kesehatan dan 
Kesejahteraan Masyarakat
Majlis ta'lim remaja dan ibu ibu
Ambulance
DLL","- Makanan untuk 53 anak
- Biaya renovasi Rumah Singgah","['Makanan', 'Infrastruktur']","Jenis Pelayanan di Rumah Singgah Taruna Pertiwi telah dijalankan dari tahun 2011        : 
Pembinaan Anak Jalanan/Terlantar
Taman Pendidikan Al-Qur'an 
Pendidikan Anak Usia Dini
Pendidikan Keterampilan (Life Skill)
Kesehatan dan 
Kesejahteraan Masya","['Pendidikan', 'Keagamaan', 'Pembinaan Masyarakat']",11.0,53,27.0,26.0,3,3,18 maret 2011 didirikanlah lembaga nama yayasan taruna pertiwi akta notaris ny ninuk kartini sh nomor 19 tanggal 22 juni 2011 rumah singgah taruna pertiwi menjalankan kegiatannya melibatkan peran masyarakat dimana kegiatan dilangsungkan terjalin komunikasi masyarakat terciptanya memiliki ketergantungan rumah singgah masyarakat salah modal utama keberlangsungan keberhasilan program program dijalankan rumah singgah yayasan taruna pertiwi motto move fast think big berharap bergerak cepat menangkap menggali aspirasi mengidentefikasi kebutuhan anak jalanan masyarakat berfikiran luas solusi manfaat besarnya masyarakat luas warga anak jalanan terlantar visi membantu anak jalanan terlantar anak warga masyarakat pendidikan layak meningkatkan kesejahteraan taraf hidup pelayanan kesehatan berperan mewujudkan tatanan sosial masyarakat sesuai potensi dimilikinya berdaya hidup bersih sehat tentram sejahtera misi menumbuhkan percaya sikap mental menyediakan memfasilitasi anak pendidikan pelatihan keterampilan life skill sesuai kebutuhan potensi dimiliki menciptakan peluang kerja mengembangkan peluang usaha menggali memberdayakan potensi dimiliki manusia produktif mandiri melibatkan peran masyarakat terkait mengentaskan memberdayakan anak jalanan terlantar anak yatim anak masyarakat jenis pelayanan rumah singgah taruna pertiwi pembinaan anak jalanan terlantar taman pendidikan al quran pendidikan anak usia pendidikan keterampilan life skill kesehatan kesejahteraan masyarakat majlis talim remaja ambulance dll,makanan 53 anak biaya renovasi rumah singgah,jenis pelayanan rumah singgah taruna pertiwi dijalankan 2011 pembinaan anak jalanan terlantar taman pendidikan al quran pendidikan anak usia pendidikan keterampilan life skill kesehatan kesejahteraan masya,Panti Taruna Pertiwi 18 maret 2011 didirikanlah lembaga nama yayasan taruna pertiwi akta notaris ny ninuk kartini sh nomor 19 tanggal 22 juni 2011 rumah singgah taruna pertiwi menjalankan kegiatannya melibatkan peran masyarakat dimana kegiatan dilangsungkan terjalin komunikasi masyarakat terciptanya memiliki ketergantungan rumah singgah masyarakat salah modal utama keberlangsungan keberhasilan program program dijalankan rumah singgah yayasan taruna pertiwi motto move fast think big berharap bergerak cepat menangkap menggali aspirasi mengidentefikasi kebutuhan anak jalanan masyarakat berfikiran luas solusi manfaat besarnya masyarakat luas warga anak jalanan terlantar visi membantu anak jalanan terlantar anak warga masyarakat pendidikan layak meningkatkan kesejahteraan taraf hidup pelayanan kesehatan berperan mewujudkan tatanan sosial masyarakat sesuai potensi dimilikinya berdaya hidup bersih sehat tentram sejahtera misi menumbuhkan percaya sikap mental menyediakan memfasilitasi anak pendidikan pelatihan keterampilan life skill sesuai kebutuhan potensi dimiliki menciptakan peluang kerja mengembangkan peluang usaha menggali memberdayakan potensi dimiliki manusia produktif mandiri melibatkan peran masyarakat terkait mengentaskan memberdayakan anak jalanan terlantar anak yatim anak masyarakat jenis pelayanan rumah singgah taruna pertiwi pembinaan anak jalanan terlantar taman pendidikan al quran pendidikan anak usia pendidikan keterampilan life skill kesehatan kesejahteraan masyarakat majlis talim remaja ambulance dll makanan 53 anak biaya renovasi rumah singgah jenis pelayanan rumah singgah taruna pertiwi dijalankan 2011 pembinaan anak jalanan terlantar taman pendidikan al quran pendidikan anak usia pendidikan keterampilan life skill kesehatan kesejahteraan masya Makanan Infrastruktur
6,Panti Sakinah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],333,01 Jan 1970,03 Mar 2023,"Bagja Wijaya, S. Pd."," Jl. Samudra Jaya No 1 A RT 04/02, Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16435",Berdiri sejak tahun 2009 | Pengasuhan anak yatim dhuafa untuk pendidikan agama dan akhlak,"Biaya konsumsi dan pendidikan
Biaya kesehatan dan alat kebersihan
Biaya program","['Makanan', 'Kesehatan']","- Taklim
- Tadarrus
- Olahraga
- Pendidikan formal","['Pendidikan', 'Keagamaan']",15.0,40,18.0,22.0,2,2,berdiri 2009 pengasuhan anak yatim dhuafa pendidikan agama akhlak,biaya konsumsi pendidikan biaya kesehatan alat kebersihan biaya program,taklim tadarrus olahraga pendidikan formal,Panti Sakinah berdiri 2009 pengasuhan anak yatim dhuafa pendidikan agama akhlak biaya konsumsi pendidikan biaya kesehatan alat kebersihan biaya program taklim tadarrus olahraga pendidikan formal Makanan Kesehatan
7,Panti Domyadhu,Lembaga Kesejahteraan Sosial Anak,[''],16,01 Jan 1970,03 Mar 2023,"Luhur Pujianto, M. Sdm",Jalan Nusantara Raya No. 183 Beji-Depok,-,Kebutuhan Operasional anak-anak asuh dan Renovasi Asrama domyadhu ,[''],,[''],13.0,14,13.0,1.0,1,1,,kebutuhan operasional anak anak asuh renovasi asrama domyadhu,,Panti Domyadhu  kebutuhan operasional anak anak asuh renovasi asrama domyadhu  
8,Yayasan Penyantun Islam Aceh,Lembaga Kesejahteraan Sosial Anak,[''],0,01 Jan 1970,03 Mar 2023,Alm. H. Tgk. Zaini Bakri,"Jalan Sulthan alaidin T.Johansyah 407c, Seutui, Baiturrahman, Kota Banda Aceh, Aceh 23116","Berdiri sejak tahun 1953
","Tempat Tidur
Bed cover
",[''],"1. Pengajian rutin sesudah salat magrib
2. Mendengarkan khutbah/ceramah setiap malam sabtu

Agenda rutin tahunan: 
1. 2x setahun rekreasi pasca ujian sekolah.			",[''],8.0,60,30.0,30.0,1,1,berdiri 1953,tidur bed cover,1 pengajian rutin salat magrib 2 mendengarkan khutbah ceramah malam sabtu agenda rutin tahunan 1 2x setahun rekreasi pasca ujian sekolah,Yayasan Penyantun Islam Aceh berdiri 1953 tidur bed cover 1 pengajian rutin salat magrib 2 mendengarkan khutbah ceramah malam sabtu agenda rutin tahunan 1 2x setahun rekreasi pasca ujian sekolah 
9,Muhammadiyah Siti Khadijah Al Kubra,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Panti Anak Non Mukim']",0,01 Jan 1970,02 Mar 2023,"H. Sugeng Wuryanto, S.E","JL. Syukur, RT. 001/08, Lenteng Agung, 12610, RT.1/RW.8, Lenteng Agung, Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630","Panti Asuhan Muhamadiyah Siti Khadijah Al-Kubra didirikan pada tahun 1993. Lokasinya di Jalan Syukur No.54 Rt 001/08, Kelurahan Lenteng Agung Kecamatan Jagakarsa, Jakarta Selatan. Awalnya, pada tahun 1982  Pimpinan Cabang Muhammadiyah Pasar Minggu menerima wakaf tanah dari Ibu Sri seluas 300 meter persegi, dengan status girik. Kemudian ditukar dengan tanah dari Keluarga Bp. Sugirman  seluas 2000 meter yang berstatus tanah garapan. Semula, tanah tersebut akan dijadikan bangunan SMP Muhammadiyah, namun terbengkalai. Penyebabnya berbagai hal terutama tidak adanya dana yang cukup ditambah dengan datangnya krisis ekonomi. Padahal saat itu sempat dibangun dengan fondasi dan dipasang kerangka besi, namun tidak dapat diteruskan. Kemudian pada tahun 1993 datang tawaran dari Pimpinan Pusat Muhammadiyah agar dialihkan menjadi Panti Asuhan. Awalnya ada seorang donatur Quwait untuk proyek bantuan lewat PP Muhammadiyah, namun gagal keburu terjadi penyerbuan Irak ke Quwait. Selanjutnya ada donatur dari negara lain yang meneruskan proyek  bantuan untuk Panti Asuhan.  Setelah disepakati oleh pengurus Pimpinan Cabang Muhammadiyah Pasar Minggu, maka berdirilah Panti Asuhan Siti Khadijah Al-Kubra dengan tahap pertama menyantuni 20 anak asuh.

Pada periode pertama ini Panti Ashuan Siti Khatijah dipimpin oleh Drs. H. Zulkifli Mahmud  (1993-2000). Periode kedua pengurusan panti dipegang oleh  H. S. Mulianto, MM. MBA  (2002-2005). Dalam perjalanannya, kepengurusan Panti Asuhan  terjadi mis-manajemen yang kemudian diambil alih oleh  Pimpinan Daerah Muhammadiyah (PDM) Jakarta Selatan. Hal ini berdasarkan Surat Keputusan Nomor 020/III.O/D/2002, tanggal 22 RABIULAWAL 1423 H/ 5 Juni 2002, tentang Penetapan Pengurus Panti Asuhan Muhammadiyah  Siti Khadijah Al-Kubra, Masa Jabatan 2002-2005. Pada periode III  kepengurusan panti dipimpin  Drs. H. Solichin WD MM (2005-2010).  Kepengurusan berikutnya diketuai oleh H. Sugerng Wuryanto, S.E.

Susunan selengkapnya yaitu: H. Sugeng Wuryanto, S.E. (Ketua), Drs. H. Marhasan (Bendahara), Siti Dewi (Staf Keuangan), Siti Rohaeti (Juru Cuci), Badingah (Juru Masak), H. Jumadi (Divisi Pencari Dana) dan Dudi Misky (Pengasuh).","- Biaya sekolah dan transportasi anak panti (setiap minggunya total ongkos 900.000)
- sembako bulanan
- Kebutuhan kebersihan sehari2 spt sabun mandi, deterjen, odol
- Infrastruktur untuk pelatihan anak binaan
","['Makanan', 'Kesehatan', 'Infrastruktur']","- Seni bela diri Tapak Suci Muhammadiyyah
- Futsal
- Muhadharoh
- Tahfizh
- Pelatihan Keterampilan Sablon dan Las","['Pendidikan', 'Pembinaan Masyarakat']",8.0,45,36.0,9.0,2,2,panti asuhan muhamadiyah siti khadijah al kubra didirikan 1993 lokasinya jalan syukur no 54 rt 001 08 kelurahan lenteng agung kecamatan jagakarsa jakarta selatan 1982 pimpinan cabang muhammadiyah pasar minggu menerima wakaf tanah sri seluas 300 meter persegi status girik ditukar tanah keluarga bp sugirman seluas 2000 meter berstatus tanah garapan tanah dijadikan bangunan smp muhammadiyah terbengkalai penyebabnya dana ditambah datangnya krisis ekonomi dibangun fondasi dipasang kerangka besi diteruskan 1993 tawaran pimpinan pusat muhammadiyah dialihkan panti asuhan donatur quwait proyek bantuan pp muhammadiyah gagal keburu penyerbuan irak quwait donatur negara meneruskan proyek bantuan panti asuhan disepakati pengurus pimpinan cabang muhammadiyah pasar minggu berdirilah panti asuhan siti khadijah al kubra tahap menyantuni 20 anak asuh periode panti ashuan siti khatijah dipimpin drs h zulkifli mahmud 1993 2000 periode pengurusan panti dipegang h s mulianto mm mba 2002 2005 perjalanannya kepengurusan panti asuhan mis manajemen diambil alih pimpinan daerah muhammadiyah pdm jakarta selatan berdasarkan surat keputusan nomor 020 iii o d 2002 tanggal 22 rabiulawal 1423 h 5 juni 2002 penetapan pengurus panti asuhan muhammadiyah siti khadijah al kubra jabatan 2002 2005 periode iii kepengurusan panti dipimpin drs h solichin wd mm 2005 2010 kepengurusan diketuai h sugerng wuryanto s e susunan selengkapnya h sugeng wuryanto s e ketua drs h marhasan bendahara siti dewi staf keuangan siti rohaeti juru cuci badingah juru masak h jumadi divisi pencari dana dudi misky pengasuh,biaya sekolah transportasi anak panti minggunya total ongkos 900 000 sembako bulanan kebutuhan kebersihan sehari2 spt sabun mandi deterjen odol infrastruktur pelatihan anak binaan,seni bela tapak suci muhammadiyyah futsal muhadharoh tahfizh pelatihan keterampilan sablon las,Muhammadiyah Siti Khadijah Al Kubra panti asuhan muhamadiyah siti khadijah al kubra didirikan 1993 lokasinya jalan syukur no 54 rt 001 08 kelurahan lenteng agung kecamatan jagakarsa jakarta selatan 1982 pimpinan cabang muhammadiyah pasar minggu menerima wakaf tanah sri seluas 300 meter persegi status girik ditukar tanah keluarga bp sugirman seluas 2000 meter berstatus tanah garapan tanah dijadikan bangunan smp muhammadiyah terbengkalai penyebabnya dana ditambah datangnya krisis ekonomi dibangun fondasi dipasang kerangka besi diteruskan 1993 tawaran pimpinan pusat muhammadiyah dialihkan panti asuhan donatur quwait proyek bantuan pp muhammadiyah gagal keburu penyerbuan irak quwait donatur negara meneruskan proyek bantuan panti asuhan disepakati pengurus pimpinan cabang muhammadiyah pasar minggu berdirilah panti asuhan siti khadijah al kubra tahap menyantuni 20 anak asuh periode panti ashuan siti khatijah dipimpin drs h zulkifli mahmud 1993 2000 periode pengurusan panti dipegang h s mulianto mm mba 2002 2005 perjalanannya kepengurusan panti asuhan mis manajemen diambil alih pimpinan daerah muhammadiyah pdm jakarta selatan berdasarkan surat keputusan nomor 020 iii o d 2002 tanggal 22 rabiulawal 1423 h 5 juni 2002 penetapan pengurus panti asuhan muhammadiyah siti khadijah al kubra jabatan 2002 2005 periode iii kepengurusan panti dipimpin drs h solichin wd mm 2005 2010 kepengurusan diketuai h sugerng wuryanto s e susunan selengkapnya h sugeng wuryanto s e ketua drs h marhasan bendahara siti dewi staf keuangan siti rohaeti juru cuci badingah juru masak h jumadi divisi pencari dana dudi misky pengasuh biaya sekolah transportasi anak panti minggunya total ongkos 900 000 sembako bulanan kebutuhan kebersihan sehari2 spt sabun mandi deterjen odol infrastruktur pelatihan anak binaan seni bela tapak suci muhammadiyyah futsal muhadharoh tahfizh pelatihan keterampilan sablon las Makanan Kesehatan Infrastruktur
